Actuarial Science Masters Students	{'prereqs': [], 'coreqs': [], 'antireqs': [], 'instructorPermission': False, 'requiredMajor': 'Actuarial Science Masters', 'requiredTerm': None, 'otherNotes': ''}
Anitreq: ECE 710 - Topic 13	{'prereqs': [], 'coreqs': [], 'antireqs': ['ECE 710 - Topic 13'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: 4U German	{'prereqs': [], 'coreqs': [], 'antireqs': ['4U German'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': '4U', 'otherNotes': ''}
Antireq: 4U Portuguese	{'prereqs': [], 'coreqs': [], 'antireqs': ['4U Portuguese'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': '4U', 'otherNotes': ''}
Antireq: 4U Spanish	{'prereqs': [], 'coreqs': [], 'antireqs': ['4U Spanish'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': '4U', 'otherNotes': ''}
Antireq: ACSTC 445	{'prereqs': [], 'coreqs': [], 'antireqs': ['ACSTC 445'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: ACTSC 433	{'prereqs': [], 'coreqs': [], 'antireqs': ['ACTSC 433'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: ACTSC 446	{'prereqs': [], 'coreqs': [], 'antireqs': ['ACTSC 446'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AE 121, BME 121, CS 115, 137, 138, 145, CIVE 121, ECE 150, ME 101, MSCI 121, PHYS 236, SYDE 121	{'prereqs': [], 'coreqs': [], 'antireqs': ['AE 121', 'BME 121', 'CS 115', '137', '138', '145', 'CIVE 121', 'ECE 150', 'ME 101', 'MSCI 121', 'PHYS 236', 'SYDE 121'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 121, CFM 101, BUS 283W	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 121', 'CFM 101', 'BUS 283W'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 231/LS 283, ECE 290; (For Mathematics students only) BUS 231W, CIVE 491, ENVS 201, GENE 411, ME 401, MTHEL 100	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 231', 'ECE 290', 'BUS 231W', 'CIVE 491', 'ENVS 201', 'GENE 411', 'ME 401', 'MTHEL 100'], 'instructorPermission': False, 'requiredMajor': 'Mathematics', 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 280, BUS 288W, PSYCH 238/338	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 280', 'BUS 288W', 'PSYCH 238', 'PSYCH 338'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 280, BUS 288W, PSYCH 238/338, SCBUS 225	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 280', 'BUS 288W', 'PSYCH 238', 'PSYCH 338', 'SCBUS 225'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 335, MTHEL 100/COMM 231, BUS 231W, CIVE 491, ENVS 201, GENE 411, ME 401; Not open to Accounting and Financial Management students	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 335', 'MTHEL 100', 'COMM 231', 'BUS 231W', 'CIVE 491', 'ENVS 201', 'GENE 411', 'ME 401'], 'instructorPermission': False, 'requiredMajor': 'Accounting and Financial Management', 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 335, MTHEL 100/COMM 231, BUS 231W, CIVE 491, GENE 411, ME 401, ENVS 201	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 335', 'MTHEL 100', 'COMM 231', 'BUS 231W', 'CIVE 491', 'GENE 411', 'ME 401', 'ENVS 201'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AFM 415 (LEC 001) taken fall 2017, fall 2018	{'prereqs': [], 'coreqs': [], 'antireqs': ['AFM 415 (LEC 001)'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': 'fall 2017 fall 2018', 'otherNotes': ''}
Antireq: AMATH 442, AMATH 741	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 442', 'AMATH 741'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AMATH 451	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 451'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AMATH 453	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 453'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AMATH 455	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 455'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: AMATH 456	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 456'], 'instructorPermission': False, 'requiredMajor': None, 'minimumTerm': None, 'otherNotes': ''}
Antireq: AMATH 463	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 463'], 'instructorPermission': False, 'requiredMajor': None, 'minimumTerm': None, 'otherNotes': ''}
Antireq: AMATH 473	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 473'], 'instructorPermission': False, 'requiredMajor': None, 'minimumTerm': None, 'otherNotes': ''}
Antireq: AMATH 474	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 474'], 'instructorPermission': False, 'requiredMajor': None, 'minimumTerm': None, 'otherNotes': ''}
Antireq: AMATH 475	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 475'], 'instructorPermission': False, 'requiredMajor': None, 'minimumTerm': None, 'otherNotes': ''}
Antireq: AMATH 477	{'prereqs': [], 'coreqs': [], 'antireqs': ['AMATH 477'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: ANTH 101 or ANTH 102	{'prereqs': [], 'coreqs': [], 'antireqs': ['ANT 101', 'ANT 102'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: ANTH 260	{'prereqs': [], 'coreqs': [], 'antireqs': ['ANT 260'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': None, 'otherNotes': ''}
Antireq: ANTH 289 taken fall 2019	{'prereqs': [], 'coreqs': [], 'antireqs': ['ANT 289'], 'instructorPermission': False, 'requiredMajor': None, 'requiredTerm': 'fall 2019', 'otherNotes': ''}
